"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Active.Developers";3584;"haar";1;3,53553390593274;7
"2";2;"Active.Developers";3584;"haar";1;3,53553390593274;7
"3";3;"Active.Developers";3584;"haar";1;4,94974746830583;7
"4";4;"Active.Developers";3584;"haar";1;3,53553390593274;7
"5";5;"Active.Developers";3584;"haar";1;4,94974746830583;7
"6";6;"Active.Developers";3584;"haar";1;6,36396103067893;7
"7";7;"Active.Developers";3584;"haar";1;4,24264068711928;7
"8";8;"Active.Developers";3584;"haar";1;4,94974746830583;7
"9";9;"Active.Developers";3584;"haar";1;3,53553390593274;7
"10";10;"Active.Developers";3584;"haar";1;4,24264068711928;7
"11";11;"Active.Developers";3584;"haar";1;3,53553390593274;7
"12";12;"Active.Developers";3584;"haar";1;4,94974746830583;7
"13";13;"Active.Developers";3584;"haar";1;4,24264068711928;7
"14";14;"Active.Developers";3584;"haar";1;4,24264068711928;7
"15";15;"Active.Developers";3584;"haar";1;2,82842712474619;7
"16";16;"Active.Developers";3584;"haar";1;2,82842712474619;7
"17";17;"Active.Developers";3584;"haar";1;2,12132034355964;7
"18";18;"Active.Developers";3584;"haar";1;2,12132034355964;7
"19";19;"Active.Developers";3584;"haar";1;3,53553390593274;7
"20";20;"Active.Developers";3584;"haar";1;2,82842712474619;7
"21";21;"Active.Developers";3584;"haar";1;3,53553390593274;7
"22";22;"Active.Developers";3584;"haar";1;2,82842712474619;7
"23";23;"Active.Developers";3584;"haar";1;2,12132034355964;7
"24";24;"Active.Developers";3584;"haar";1;2,82842712474619;7
"25";25;"Active.Developers";3584;"haar";1;2,82842712474619;7
"26";26;"Active.Developers";3584;"haar";1;2,82842712474619;7
"27";27;"Active.Developers";3584;"haar";1;2,82842712474619;7
"28";28;"Active.Developers";3584;"haar";1;2,82842712474619;7
"29";29;"Active.Developers";3584;"haar";1;2,12132034355964;7
"30";30;"Active.Developers";3584;"haar";1;2,82842712474619;7
"31";31;"Active.Developers";3584;"haar";1;2,82842712474619;7
"32";32;"Active.Developers";3584;"haar";1;4,24264068711928;7
"33";33;"Active.Developers";3584;"haar";1;1,41421356237309;7
"34";34;"Active.Developers";3584;"haar";1;1,41421356237309;7
"35";35;"Active.Developers";3584;"haar";1;1,41421356237309;7
"36";36;"Active.Developers";3584;"haar";1;2,82842712474619;7
"37";37;"Active.Developers";3584;"haar";1;2,82842712474619;7
"38";38;"Active.Developers";3584;"haar";1;2,82842712474619;7
"39";39;"Active.Developers";3584;"haar";1;2,82842712474619;7
"40";40;"Active.Developers";3584;"haar";1;3,53553390593274;7
"41";41;"Active.Developers";3584;"haar";1;3,53553390593274;7
"42";42;"Active.Developers";3584;"haar";1;2,12132034355964;7
"43";43;"Active.Developers";3584;"haar";1;2,82842712474619;7
"44";44;"Active.Developers";3584;"haar";1;2,82842712474619;7
"45";45;"Active.Developers";3584;"haar";1;2,82842712474619;7
"46";46;"Active.Developers";3584;"haar";1;2,82842712474619;7
"47";47;"Active.Developers";3584;"haar";1;2,12132034355964;7
"48";48;"Active.Developers";3584;"haar";1;2,12132034355964;7
"49";49;"Active.Developers";3584;"haar";1;2,82842712474619;7
"50";50;"Active.Developers";3584;"haar";1;2,82842712474619;7
"51";51;"Active.Developers";3584;"haar";1;2,12132034355964;7
"52";52;"Active.Developers";3584;"haar";1;2,82842712474619;7
"53";53;"Active.Developers";3584;"haar";1;1,41421356237309;7
"54";54;"Active.Developers";3584;"haar";1;2,82842712474619;7
"55";55;"Active.Developers";3584;"haar";1;3,53553390593274;7
"56";56;"Active.Developers";3584;"haar";1;2,82842712474619;7
"57";57;"Active.Developers";3584;"haar";1;2,82842712474619;7
"58";58;"Active.Developers";3584;"haar";1;2,12132034355964;7
"59";59;"Active.Developers";3584;"haar";1;2,12132034355964;7
"60";60;"Active.Developers";3584;"haar";1;3,53553390593274;7
"61";61;"Active.Developers";3584;"haar";1;2,12132034355964;7
"62";62;"Active.Developers";3584;"haar";1;1,41421356237309;7
"63";63;"Active.Developers";3584;"haar";1;0,707106781186547;7
"64";64;"Active.Developers";3584;"haar";1;0;7
