"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commits";15;"haar";1;-0,707106781186547;8
"2";2;"Commits";15;"haar";1;-0,707106781186547;8
"3";3;"Commits";15;"haar";1;-6,36396103067893;8
"4";4;"Commits";15;"haar";1;1,41421356237309;8
"5";5;"Commits";15;"haar";1;0;8
"6";6;"Commits";15;"haar";1;0;8
"7";7;"Commits";15;"haar";1;0;8
"8";8;"Commits";15;"haar";1;0;8
"9";9;"Commits";15;"haar";1;3,53553390593274;8
"10";10;"Commits";15;"haar";1;0;8
"11";11;"Commits";15;"haar";1;0;8
"12";12;"Commits";15;"haar";1;0;8
"13";13;"Commits";15;"haar";1;0;8
"14";14;"Commits";15;"haar";1;0;8
"15";15;"Commits";15;"haar";1;0;8
"16";16;"Commits";15;"haar";1;0;8
"17";17;"Commits";15;"haar";1;0;8
"18";18;"Commits";15;"haar";1;0;8
"19";19;"Commits";15;"haar";1;0;8
"20";20;"Commits";15;"haar";1;0;8
"21";21;"Commits";15;"haar";1;0;8
"22";22;"Commits";15;"haar";1;0;8
"23";23;"Commits";15;"haar";1;0;8
"24";24;"Commits";15;"haar";1;0;8
"25";25;"Commits";15;"haar";1;0;8
"26";26;"Commits";15;"haar";1;0;8
"27";27;"Commits";15;"haar";1;0;8
"28";28;"Commits";15;"haar";1;0,707106781186547;8
"29";29;"Commits";15;"haar";1;-17,6776695296637;8
"30";30;"Commits";15;"haar";1;0;8
"31";31;"Commits";15;"haar";1;10,6066017177982;8
"32";32;"Commits";15;"haar";1;-4,24264068711929;8
"33";33;"Commits";15;"haar";1;-5,65685424949238;8
"34";34;"Commits";15;"haar";1;0;8
"35";35;"Commits";15;"haar";1;0;8
"36";36;"Commits";15;"haar";1;0;8
"37";37;"Commits";15;"haar";1;0;8
"38";38;"Commits";15;"haar";1;0;8
"39";39;"Commits";15;"haar";1;0;8
"40";40;"Commits";15;"haar";1;0;8
"41";41;"Commits";15;"haar";1;0;8
"42";42;"Commits";15;"haar";1;0;8
"43";43;"Commits";15;"haar";1;0;8
"44";44;"Commits";15;"haar";1;1,41421356237309;8
"45";45;"Commits";15;"haar";1;-3,53553390593274;8
"46";46;"Commits";15;"haar";1;-16,2634559672906;8
"47";47;"Commits";15;"haar";1;0;8
"48";48;"Commits";15;"haar";1;0;8
"49";49;"Commits";15;"haar";1;0;8
"50";50;"Commits";15;"haar";1;0;8
"51";51;"Commits";15;"haar";1;0;8
"52";52;"Commits";15;"haar";1;0;8
"53";53;"Commits";15;"haar";1;0;8
"54";54;"Commits";15;"haar";1;27,5771644662753;8
"55";55;"Commits";15;"haar";1;0;8
"56";56;"Commits";15;"haar";1;-1,4142135623731;8
"57";57;"Commits";15;"haar";1;-1,41421356237309;8
"58";58;"Commits";15;"haar";1;0;8
"59";59;"Commits";15;"haar";1;1,41421356237309;8
"60";60;"Commits";15;"haar";1;-0,707106781186547;8
"61";61;"Commits";15;"haar";1;0;8
"62";62;"Commits";15;"haar";1;0;8
"63";63;"Commits";15;"haar";1;0;8
"64";64;"Commits";15;"haar";1;0;8
"65";65;"Commits";15;"haar";1;0;8
"66";66;"Commits";15;"haar";1;2,82842712474619;8
"67";67;"Commits";15;"haar";1;0;8
"68";68;"Commits";15;"haar";1;14,1421356237309;8
"69";69;"Commits";15;"haar";1;0;8
"70";70;"Commits";15;"haar";1;0;8
"71";71;"Commits";15;"haar";1;0;8
"72";72;"Commits";15;"haar";1;0;8
"73";73;"Commits";15;"haar";1;0;8
"74";74;"Commits";15;"haar";1;0;8
"75";75;"Commits";15;"haar";1;0;8
"76";76;"Commits";15;"haar";1;2,12132034355964;8
"77";77;"Commits";15;"haar";1;-29,698484809835;8
"78";78;"Commits";15;"haar";1;0;8
"79";79;"Commits";15;"haar";1;0;8
"80";80;"Commits";15;"haar";1;0;8
"81";81;"Commits";15;"haar";1;-12,0208152801713;8
"82";82;"Commits";15;"haar";1;-9,89949493661166;8
"83";83;"Commits";15;"haar";1;0;8
"84";84;"Commits";15;"haar";1;0,707106781186547;8
"85";85;"Commits";15;"haar";1;0;8
"86";86;"Commits";15;"haar";1;0;8
"87";87;"Commits";15;"haar";1;0;8
"88";88;"Commits";15;"haar";1;0;8
"89";89;"Commits";15;"haar";1;0;8
"90";90;"Commits";15;"haar";1;0;8
"91";91;"Commits";15;"haar";1;0;8
"92";92;"Commits";15;"haar";1;0;8
"93";93;"Commits";15;"haar";1;0;8
"94";94;"Commits";15;"haar";1;0;8
"95";95;"Commits";15;"haar";1;0;8
"96";96;"Commits";15;"haar";1;0;8
"97";97;"Commits";15;"haar";1;0;8
"98";98;"Commits";15;"haar";1;0;8
"99";99;"Commits";15;"haar";1;0;8
"100";100;"Commits";15;"haar";1;-19,7989898732233;8
"101";101;"Commits";15;"haar";1;17,6776695296637;8
"102";102;"Commits";15;"haar";1;0;8
"103";103;"Commits";15;"haar";1;0;8
"104";104;"Commits";15;"haar";1;-7,07106781186548;8
"105";105;"Commits";15;"haar";1;-4,94974746830583;8
"106";106;"Commits";15;"haar";1;6,36396103067893;8
"107";107;"Commits";15;"haar";1;-4,24264068711928;8
"108";108;"Commits";15;"haar";1;0;8
"109";109;"Commits";15;"haar";1;0;8
"110";110;"Commits";15;"haar";1;0;8
"111";111;"Commits";15;"haar";1;0;8
"112";112;"Commits";15;"haar";1;0;8
"113";113;"Commits";15;"haar";1;0;8
"114";114;"Commits";15;"haar";1;0;8
"115";115;"Commits";15;"haar";1;0;8
"116";116;"Commits";15;"haar";1;0;8
"117";117;"Commits";15;"haar";1;0;8
"118";118;"Commits";15;"haar";1;0;8
"119";119;"Commits";15;"haar";1;0;8
"120";120;"Commits";15;"haar";1;0;8
"121";121;"Commits";15;"haar";1;0;8
"122";122;"Commits";15;"haar";1;0;8
"123";123;"Commits";15;"haar";1;0;8
"124";124;"Commits";15;"haar";1;0;8
"125";125;"Commits";15;"haar";1;0;8
