"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel";"sequence"
"1";NA;"LOC";153;"haar";1;133717,427856282;6;1
"2";NA;"LOC";153;"haar";1;124975,466720473;6;2
"3";NA;"LOC";153;"haar";1;117634,991224975;6;3
"4";NA;"LOC";153;"haar";1;135816,120782844;6;4
"5";NA;"LOC";153;"haar";1;154863,456147666;6;5
"6";NA;"LOC";153;"haar";1;164613,044446666;6;6
"7";NA;"LOC";153;"haar";1;165022,459272973;6;7
"8";NA;"LOC";153;"haar";1;165822,197042495;6;8
"9";NA;"LOC";153;"haar";1;171496,728961517;6;9
"10";NA;"LOC";153;"haar";1;172903,164349297;6;10
"11";NA;"LOC";153;"haar";1;177118,22787195;6;11
"12";NA;"LOC";153;"haar";1;189816,451448498;6;12
"13";NA;"LOC";153;"haar";1;196076,467782343;6;13
"14";NA;"LOC";153;"haar";1;201415,831087082;6;14
"15";NA;"LOC";153;"haar";1;199384,313304733;6;15
"16";NA;"LOC";153;"haar";1;207136,324946881;6;16
"17";NA;"LOC";153;"haar";1;242070,228364621;6;17
"18";NA;"LOC";153;"haar";1;313369,926432005;6;18
"19";NA;"LOC";153;"haar";1;310694,941478776;6;19
"20";NA;"LOC";153;"haar";1;282873,825172991;6;20
"21";NA;"LOC";153;"haar";1;288495,324083424;6;21
"22";NA;"LOC";153;"haar";1;288495,324083424;6;22
"23";NA;"LOC";153;"haar";1;286520,37484357;6;23
"24";NA;"LOC";153;"haar";1;285540,324844846;6;24
"25";NA;"LOC";153;"haar";1;285695,181229925;6;25
"26";NA;"LOC";153;"haar";1;285440,622788698;6;26
"27";NA;"LOC";153;"haar";1;294852,921153073;6;27
"28";NA;"LOC";153;"haar";1;301660,238135555;6;28
"29";NA;"LOC";153;"haar";1;298913,128290646;6;29
"30";NA;"LOC";153;"haar";1;294004,393015649;6;30
"31";NA;"LOC";153;"haar";1;285705,787831643;6;31
"32";NA;"LOC";153;"haar";1;285727,001035079;6;32
"33";NA;"LOC";153;"haar";1;285067,270408232;6;33
"34";NA;"LOC";153;"haar";1;278595,122040031;6;34
"35";NA;"LOC";153;"haar";1;277303,237950804;6;35
"36";NA;"LOC";153;"haar";1;276208,636653527;6;36
"37";NA;"LOC";153;"haar";1;276285,004185895;6;37
"38";NA;"LOC";153;"haar";1;230330,841583362;6;38
"39";NA;"LOC";153;"haar";1;228674,090395042;6;39
"40";NA;"LOC";153;"haar";1;236160,229887464;6;40
"41";NA;"LOC";153;"haar";1;236397,817765943;6;41
"42";NA;"LOC";153;"haar";1;235301,095148323;6;42
"43";NA;"LOC";153;"haar";1;237213,111884651;6;43
"44";NA;"LOC";153;"haar";1;238746,119386264;6;44
"45";NA;"LOC";153;"haar";1;237050,477324978;6;45
"46";NA;"LOC";153;"haar";1;234782,078770932;6;46
"47";NA;"LOC";153;"haar";1;234294,175091913;6;47
"48";NA;"LOC";153;"haar";1;237788,696804537;6;48
"49";NA;"LOC";153;"haar";1;237722,935873887;6;49
"50";NA;"LOC";153;"haar";2;171551,5;5;1
"51";NA;"LOC";153;"haar";2;205541,5;5;2
"52";NA;"LOC";153;"haar";2;233087,5;5;3
"53";NA;"LOC";153;"haar";2;238520,5;5;4
"54";NA;"LOC";153;"haar";2;247502,5;5;5
"55";NA;"LOC";153;"haar";2;272867,5;5;6
"56";NA;"LOC";153;"haar";2;283408,5;5;7
